archivo,antes_bytes,despues_bytes
counts/v1a/categories/parroquia/province_key=07/data_0.parquet,238113,0
counts/v1a/categories/parroquia/province_key=08/data_0.parquet,230766,0
counts/v1a/categories/parroquia/province_key=09/data_0.parquet,294509,0
counts/v1a/categories/parroquia/province_key=10/data_0.parquet,175650,0
counts/v1a/categories/parroquia/province_key=11/data_0.parquet,295563,0
counts/v1a/categories/parroquia/province_key=12/data_0.parquet,158973,0
counts/v1a/categories/parroquia/province_key=13/data_0.parquet,351319,0
counts/v1a/categories/parroquia/province_key=14/data_0.parquet,174762,0
counts/v1a/categories/parroquia/province_key=15/data_0.parquet,92771,0
counts/v1a/categories/parroquia/province_key=16/data_0.parquet,82528,0
counts/v1a/categories/parroquia/province_key=17/data_0.parquet,321346,0
counts/v1a/categories/parroquia/province_key=18/data_0.parquet,228641,0
counts/v1a/categories/parroquia/province_key=19/data_0.parquet,123541,0
counts/v1a/categories/parroquia/province_key=20/data_0.parquet,34571,0
counts/v1a/categories/parroquia/province_key=21/data_0.parquet,122334,0
counts/v1a/categories/parroquia/province_key=22/data_0.parquet,111340,0
counts/v1a/categories/parroquia/province_key=23/data_0.parquet,64520,0
counts/v1a/categories/parroquia/province_key=24/data_0.parquet,67446,0
counts/v1a/categories/provincia/data.parquet,395108,253981
counts/v1a/categories/schema.json,3036,0
counts/v1a/categories/sector/01.parquet,0,3032569
counts/v1a/categories/sector/02.parquet,0,738860
counts/v1a/categories/sector/03.parquet,0,952696
counts/v1a/categories/sector/04.parquet,0,527116
counts/v1a/categories/sector/05.parquet,0,1713335
counts/v1a/categories/sector/06.parquet,0,1864176
counts/v1a/categories/sector/07.parquet,0,2063315
counts/v1a/categories/sector/08.parquet,0,1597546
counts/v1a/categories/sector/09.parquet,0,11429666
counts/v1a/categories/sector/10.parquet,0,1405593
counts/v1a/categories/sector/11.parquet,0,1668717
counts/v1a/categories/sector/12.parquet,0,2476725
counts/v1a/categories/sector/13.parquet,0,4510331
counts/v1a/categories/sector/14.parquet,0,705358
counts/v1a/categories/sector/15.parquet,0,427849
counts/v1a/categories/sector/16.parquet,0,393094
counts/v1a/categories/sector/17.parquet,0,8788679
counts/v1a/categories/sector/18.parquet,0,2067361
counts/v1a/categories/sector/19.parquet,0,425767
counts/v1a/categories/sector/20.parquet,0,112428
counts/v1a/categories/sector/21.parquet,0,658667
counts/v1a/categories/sector/22.parquet,0,585755
counts/v1a/categories/sector/23.parquet,0,1378608
counts/v1a/categories/sector/24.parquet,0,1018337
counts/v1a/categories/sector/province_key=01/data_0.parquet,14041355,0
counts/v1a/categories/sector/province_key=02/data_0.parquet,3016164,0
counts/v1a/categories/sector/province_key=03/data_0.parquet,4102945,0
counts/v1a/categories/sector/province_key=04/data_0.parquet,2163285,0
counts/v1a/categories/sector/province_key=05/data_0.parquet,7392757,0
counts/v1a/categories/sector/province_key=06/data_0.parquet,8261078,0
counts/v1a/categories/sector/province_key=07/data_0.parquet,9260010,0
counts/v1a/categories/sector/province_key=08/data_0.parquet,7026222,0
counts/v1a/categories/sector/province_key=09/data_0.parquet,57795539,0
counts/v1a/categories/sector/province_key=10/data_0.parquet,5976295,0
counts/v1a/categories/sector/province_key=11/data_0.parquet,7485089,0
counts/v1a/categories/sector/province_key=12/data_0.parquet,11156497,0
counts/v1a/categories/sector/province_key=13/data_0.parquet,22079439,0
counts/v1a/categories/sector/province_key=14/data_0.parquet,2961519,0
counts/v1a/categories/sector/province_key=15/data_0.parquet,1659132,0
counts/v1a/categories/sector/province_key=16/data_0.parquet,1507455,0
counts/v1a/categories/sector/province_key=17/data_0.parquet,44573149,0
counts/v1a/categories/sector/province_key=18/data_0.parquet,9438475,0
counts/v1a/categories/sector/province_key=19/data_0.parquet,1665146,0
counts/v1a/categories/sector/province_key=20/data_0.parquet,379152,0
counts/v1a/categories/sector/province_key=21/data_0.parquet,2677544,0
