clave_manzana,clave_sector,poblacion
090150413012058,090150413012,0
090150413012059,090150413012,0
090150417003005,090150417003,57
090150686008002,090150686008,170
090150689008006,090150689008,0
090150689008007,090150689008,0
090150689008008,090150689008,3
090150689008009,090150689008,0
090150689008010,090150689008,17
090150689008011,090150689008,0
090150689008012,090150689008,0
090150689008013,090150689008,0
090153913004008,090153913004,2
090153913006014,090153913006,2
090153913006015,090153913006,19
090156002006015,090156002006,43
090156002006016,090156002006,36
090156002006017,090156002006,0
090156002006019,090156002006,0
090156002006020,090156002006,0
090156002006021,090156002006,16
090156002006022,090156002006,16
090156002006023,090156002006,28
090156002006024,090156002006,21
090156002006025,090156002006,17
090156002006026,090156002006,14
090156002006027,090156002006,7
090156002006029,090156002006,0
090156002006031,090156002006,5
090156002006032,090156002006,10
090156002006033,090156002006,17
090156002006034,090156002006,0
090156002006035,090156002006,15
090156002006036,090156002006,10
090156002006037,090156002006,7
090156002007009,090156002007,0
090156002007010,090156002007,0
090156002007012,090156002007,0
090156003010013,090156003010,14
090156003010014,090156003010,0
090450009001001,090450009001,14
090450009001002,090450009001,26
090450009001003,090450009001,26
090450009001004,090450009001,44
090450009001005,090450009001,16
090450009001006,090450009001,21
090450009001007,090450009001,13
090450009002001,090450009002,59
090450009002002,090450009002,15
090450009002003,090450009002,14
090450009002004,090450009002,14
090450009002005,090450009002,9
090450009002006,090450009002,12
090450009002007,090450009002,35
090450009002008,090450009002,18
090450009002009,090450009002,12
090450009002010,090450009002,4
090450009003001,090450009003,32
090450009003002,090450009003,15
090450009003003,090450009003,11
090450009003004,090450009003,5
090450009003005,090450009003,13
090450009003006,090450009003,23
090450009003007,090450009003,24
090450009003008,090450009003,20
090450009003009,090450009003,12
090450009003010,090450009003,1
090450009003011,090450009003,9
090450009003012,090450009003,7
090450009004001,090450009004,28
090450009004002,090450009004,19
090450009004003,090450009004,19
090450009004004,090450009004,17
090450009004005,090450009004,17
090450009004006,090450009004,23
090450009004007,090450009004,7
090450009004008,090450009004,15
090450009004009,090450009004,10
090450009004010,090450009004,20
090450009004011,090450009004,6
090450009005001,090450009005,22
090450009005002,090450009005,24
090450009005003,090450009005,20
090450009005004,090450009005,21
090450009005005,090450009005,17
090450009005006,090450009005,32
090450009006001,090450009006,42
090450009006002,090450009006,15
090450009006003,090450009006,19
090450009006004,090450009006,10
090450009006005,090450009006,57
090450009006006,090450009006,0
090450009006007,090450009006,9
090450009006008,090450009006,0
090450009006010,090450009006,0
090450009006011,090450009006,10
090450009007001,090450009007,10
090450009007002,090450009007,22
090450009007003,090450009007,12
090450009007004,090450009007,13
090450009007005,090450009007,8
090450009007006,090450009007,7
090450009007007,090450009007,28
090450009007008,090450009007,19
090450009007009,090450009007,12
090450009007010,090450009007,29
090450009007011,090450009007,15
090450009007012,090450009007,15
090450009007013,090450009007,20
090450009008001,090450009008,38
090450009008002,090450009008,19
090450009008003,090450009008,0
090450009008004,090450009008,17
090450009008005,090450009008,3
090450009008006,090450009008,15
090450009008007,090450009008,0
090450009008008,090450009008,23
090450009008009,090450009008,17
090450009008010,090450009008,9
090450009008011,090450009008,14
090450009008012,090450009008,22
090450009008013,090450009008,8
090450009008014,090450009008,11
090450009008015,090450009008,2
090450009009001,090450009009,15
090450009009002,090450009009,20
090450009009003,090450009009,6
090450009009004,090450009009,11
090450009009005,090450009009,11
090450009009006,090450009009,6
090450009009007,090450009009,13
090450009009008,090450009009,22
090450009009009,090450009009,18
090450009009010,090450009009,26
090450009009011,090450009009,28
090450009009012,090450009009,48
090650001007007,090650001007,29
090656001003008,090656001003,14
090750017009013,090750017009,2
090750017011001,090750017011,97
090750017011002,090750017011,15
090750017011003,090750017011,30
090750017011004,090750017011,81
090750017011005,090750017011,31
090750017011006,090750017011,34
090750017011007,090750017011,44
090750017011008,090750017011,15
090750017011009,090750017011,0
090750017011010,090750017011,121
090750017012001,090750017012,22
090750017012002,090750017012,23
090750017012004,090750017012,3
090750017012005,090750017012,177
090750017012006,090750017012,59
090750017013001,090750017013,11
090750017013002,090750017013,9
090750017013006,090750017013,2
090750017013007,090750017013,7
090750017013008,090750017013,4
090750017013010,090750017013,0
090750017013011,090750017013,6
090750017013012,090750017013,17
090750017013013,090750017013,2
090750017013014,090750017013,10
090750017013015,090750017013,8
090750017013016,090750017013,30
090750017013017,090750017013,22
090750017013018,090750017013,31
090750017013019,090750017013,13
090750017013020,090750017013,21
090750017013021,090750017013,106
090750017013022,090750017013,4
090750019006002,090750019006,41
090750019006003,090750019006,32
090750019006004,090750019006,56
090750019006005,090750019006,4
090750019006007,090750019006,48
090750019006008,090750019006,66
090750019006009,090750019006,0
090750019006010,090750019006,6
090750019006011,090750019006,110
090750019006012,090750019006,0
090750019006013,090750019006,28
090750019006014,090750019006,32
090850001003005,090850001003,11
